nome_empresa,setor,uf_sede,regiao_sede,faturamento_anual,lucro_liquido,potencial_investimento,score_empresa,site,descricao
Granaco Fundicao,Outros,N/D,Nacional,91275390,9127539,370806,0.7136,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Dannemann Siemsen,Outros,N/D,Nacional,92320000,9232000,375050,0.7135,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Scania,Outros,N/D,Nacional,85315897,8531590,346596,0.7135,,LIE: R$0.3M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Wap,Outros,N/D,Nacional,97242037,9724204,395046,0.7134,,LIE: R$0.3M | Rouanet: R$0.9M | Total historico 2022-2025: R$1.2M
Marispan,Outros,N/D,Nacional,79299074,7929907,322152,0.7134,,LIE: R$0.4M | Rouanet: R$0.6M | Total historico 2022-2025: R$1.0M
Scansource,Outros,N/D,Nacional,85679589,8567959,348073,0.7134,,LIE: R$0.3M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Farmacia Indiana,Outros,N/D,Nacional,105295144,10529514,427762,0.7134,,LIE: R$0.2M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.3M
Triel-Ht,Outros,N/D,Nacional,88060243,8806024,357745,0.7132,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Cristal Master,Outros,N/D,Nacional,83884106,8388411,340779,0.7131,,LIE: R$0.3M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.0M
Braspine,Outros,N/D,Nacional,83706180,8370618,340056,0.713,,LIE: R$0.3M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.0M
Packing Group,Outros,N/D,Nacional,87280000,8728000,354575,0.713,,LIE: R$0.3M | Rouanet: R$0.8M | Total historico 2022-2025: R$1.1M
Calcados Pegada,Outros,N/D,Nacional,103600000,10360000,420875,0.713,,LIE: R$0.2M | Rouanet: R$1.1M | Total historico 2022-2025: R$1.3M
Sanmartin,Outros,N/D,Nacional,84880000,8488000,344825,0.7128,,LIE: R$0.3M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
"Trench, Rossi E Watanabe Advogados",Outros,N/D,Nacional,84968080,8496808,345183,0.7128,,LIE: R$0.3M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
Vetanco,Outros,N/D,Nacional,84200514,8420051,342065,0.7127,,LIE: R$0.3M | Rouanet: R$0.7M | Total historico 2022-2025: R$1.1M
